date,account_id,currency,balance,inflow,outflow
2025-08-14,ACC-003,COP,2987754672.78,106176633.39,104803833.71
2025-05-06,ACC-006,USD,148343.19,1906.44,6631.36
2025-08-30,ACC-001,COP,2422127448.26,35064305.57,67044824.4
22/05/2025,ACC-001,COP,2596890597.82,136774255.65,111506890.94
2025-07-03,ACC-005,Mexican Peso,136815700.26,4004621.54,3866024.29
09-18-2025,ACC-002,USD,79622.92,2219.77,5035.43
2025-01-12,ACC-002,USD,173106.62,2225.36,0.0
04-09-2025,ACC-005,MXN,162803746.66,5147697.81,5758720.55
2025-07-20,ACC-005,MXN,126303171.84,1964436.29,1670961.85
2025-03-11,ACC-003,COP,3879181721.56,71962922.74,180439783.49
2025-07-03,ACC-006,USD,130373.01,4433.54,5046.74
25/08/2025,ACC-002,USD,110540.6,2165.88,0.0
2025-05-27,ACC-001,cop,2684734214.71,168080504.63,0.0
2025-08-26,ACC-004,mxn,20743860.64,697006.3,1178891.99
10/06/2025,ACC-004,MXN,25044677.01,0.0,904182.99
06-19-2025,ACC-005,Mexican Peso,136278328.42,,6161683.48
2025-05-24,ACC-004,MXN,31119676.91,405378.81,538156.96
2025-08-28,ACC-006,USD,150692.46,5928.17,5671.48
08-30-2025,ACC-006,USD,148522.06,199.92,3223.96
2025-02-27,ACC-003,cop,3798140486.18,187818174.98,196447784.58
2025-07-17,ACC-003,COP,,81904731.68,88551057.94
22/06/2025,ACC-001,COP,3262663632.76,162466577.08,0.0
2025-08-12,ACC-006,USD,136651.58,5742.07,4089.28
2025-02-16,ACC-006,USD,232385.3,49.75,1180.55
07-30-2025,ACC-006,USD,148242.05,5187.81,5155.12
2025-07-09,ACC-003,COP,2864688036.43,135421469.29,100669878.84
2025-04-27,ACC-002,USD,149671.38,2619.5,6097.25
05-28-2025,ACC-001,COP,2651620522.63,64645026.22,97758718.3
2025-08-21,ACC-004,MXN,22422590.28,1353175.2,1233630.25
2025-04-05,ACC-006,USD,184832.43,1118.75,1446.73
2025-03-02,ACC-006,USD,,0.0,4189.14
2025-01-11,ACC-004,MXN,71251298.16,0.0,2044321.86
2025-04-17,ACC-002,USD,155576.18,1610.8,12120.11
2025-09-18,ACC-006,USD,152788.25,7714.23,4994.36
2025-09-06,ACC-005,MXN,110240345.58,1600285.29,359112.81
2025-04-02,ACC-002,USD,171601.29,0.0,355.47
2025-01-04,ACC-004,MXN,81945030.99,0.0,5278188.29
2025-04-17,ACC-005,MXN,159966541.74,4705149.61,7816163.9
2025-01-02,ACC-006,USD,224417.02,9614.42,11255.94
2025-09-07,ACC-005,MXN,109457908.76,1124517.57,1906954.39
07-15-2025,ACC-002,USD,130263.23,3966.59,
2025-03-02,ACC-004,mxn,49424495.15,17868.57,2993171.3
09-13-2025,ACC-002,USD,93442.26,0.0,821.85
02-11-2025,ACC-004,MXN,56731250.35,1878306.55,0.0
2025-04-06,ACC-001,COP,2623841621.65,138091860.73,20834780.0
2025-07-15,ACC-006,USD,137117.49,6487.88,2941.79
2025-06-27,ACC-003,COP,2924091808.78,94537528.48,91021231.65
2025-03-31,ACC-002,USD,176634.75,4013.38,2017.85
2025-06-16,ACC-005,MXN,138303884.88,5140203.52,3327670.73
2025-08-02,ACC-004,MXN,23147743.71,733416.48,639458.72
2025-03-11,ACC-004,MXN,47677236.75,0.0,1683833.14
2025-07-08,ACC-003,COP,2829936445.98,147021565.61,91292006.84
2025-02-13,ACC-005,MXN,155305971.2,2225065.31,3853326.49
2025-03-14,ACC-004,MXN,46452813.16,0.0,1321999.22
2025-01-22,ACC-006,USD,240244.44,4160.16,1270.91
2025-05-28,ACC-003,COP,3085875971.34,92370398.36,110648647.79
2025-07-24,ACC-001,COP,2706504246.63,0.0,0.0
2025-08-04,ACC-004,MXN,24741984.31,1245457.35,0.0
2025-04-03,ACC-005,Mexican Peso,161308214.47,6052913.8,3541485.29
08-02-2025,ACC-005,MXN,120285699.97,1564952.39,3282073.53
2025-06-30,ACC-002,USD,135702.31,5109.59,4603.58
06/06/2025,ACC-002,USD,151164.08,7170.38,4855.72
2025-02-02,ACC-003,COP,3976769345.31,48666686.57,78942983.5
2025-02-01,ACC-003,COP,4007045642.25,0.0,29744245.38
2025-05-01,ACC-004,MXN,34389311.57,1627244.12,0.0
2025-01-07,ACC-003,COP,4045690199.73,152897338.33,136194433.8
2025-04-01,ACC-003,COP,4034136766.59,160214117.79,132094962.02
2025-08-26,ACC-002,USD,110266.46,1005.82,1279.96
2025-06-09,ACC-003,COP,3016700974.7,,53057130.79
2025-01-17,ACC-002,USD,174010.37,6004.74,2386.53
2025-01-15,ACC-002,US Dollar,175590.15,7156.4,6246.47
2025-07-09,ACC-004,MXN,20754380.24,319035.46,2230917.29
2025-02-28,ACC-002,USD,165206.63,2133.67,6010.57
2025-07-16,ACC-003,COP,2915548159.0,85328624.97,26844552.53
2025-01-01,ACC-002,USD,177214.43,0.0,2785.57
2025-04-22,ACC-001,COP,2456161803.55,82103156.05,11666909.38
2025-07-08,ACC-001,COP,2584168159.21,62711053.22,0.0
2025-08-03,ACC-002,USD,122208.46,3663.53,1621.31
06-11-2025,ACC-004,MXN,25044677.01,0.0,0.0
2025-07-06,ACC-001,COP,2643974702.96,88398863.99,89524756.63
04-22-2025,ACC-003,COP,3928109312.82,142456253.22,155840961.17
15/06/2025,ACC-003,COP,2896425471.61,,104508361.91
2025-08-29,ACC-006,USD,151546.1,2289.65,1436.01
2025-05-22,ACC-003,COP,3234282417.91,42149769.46,135154401.65
2025-02-28,ACC-001,Colombian Peso,2402287085.29,85761995.67,77930684.68
2025-04-04,ACC-002,USD,161168.81,5813.94,7721.05
2025-08-29,ACC-004,MXN,20797821.64,755587.46,0.0
2025-08-05,ACC-003,COP,,121059084.5,37369695.38
2025-03-16,ACC-002,USD,180452.01,510.21,777.91
2025-08-14,ACC-006,USD,,4752.01,2562.47
2025-05-07,ACC-002,USD,147808.76,5943.15,5884.18
2025-09-04,ACC-006,USD,153812.69,4732.91,2161.4
2025-06-24,ACC-006,USD,124342.1,,6701.21
2025-07-14,ACC-006,usd,133571.39,4378.15,6306.3
2025-04-21,ACC-003,COP,3941494020.77,118064836.43,43135310.18
2025-06-29,ACC-001,COP,2816793528.55,,
01-03-2025,ACC-006,USD,225271.19,7442.33,6588.17
2025-01-13,ACC-001,COP,2865976872.21,55506610.73,66741711.45
09-02-2025,ACC-002,US Dollar,101242.95,3099.2,5482.96
2025-01-06,ACC-005,MXN,155500890.84,3341100.43,3299493.89
19/04/2025,ACC-002,USD,152581.9,0.0,4702.88
2025-03-27,ACC-004,MXN,33285055.84,0.0,1091910.94
2025-03-02,ACC-001,COP,2467544830.7,0.0,43393766.83
2025-03-13,ACC-001,COP,2567046017.65,0.0,103324059.42
2025-09-04,ACC-002,USD,100774.07859194938,2059.95,4296.88
2025-06-14,ACC-004,MXN,23716889.35,0.0,1862951.49
09-10-2025,ACC-004,MXN,20662202.29,607747.29,
2025-02-13,ACC-001,COP,,43282359.07,76570454.06
26/07/2025,ACC-001,COP,2621152341.47,0.0,85351905.16
2025-06-12,ACC-002,USD,140214.79,2337.6,7046.27
2025-04-19,ACC-001,COP,2399239705.1,62363619.42,113282988.89
2025-05-08,ACC-001,COP,2488852194.25,61087971.69,131638905.7
2025-09-15,ACC-003,COP,2882492608.01,97637846.03,105574021.8
2025-01-14,ACC-001,COP,2872200707.92,,117895115.82
2025-09-12,ACC-004,MXN,21836122.89,952078.72,1429252.85
2025-07-14,ACC-005,MXN,129980571.94,1685318.86,4929015.65
2025-05-21,ACC-001,COP,2571623233.11,103663170.48,0.0
2025-08-06,ACC-005,MXN,114334594.15,1607163.44,2745126.77
2025-08-30,ACC-003,COP,2980703068.07,11400227.67,3959431.46
2025-07-05,ACC-004,MXN,23227119.74,554000.57,680999.03
06/08/2025,ACC-004,MXN,,960551.51,1159714.85
2025-04-29,ACC-003,COP,3603276618.78,101577009.96,129866412.22
2025-08-06,ACC-006,usd,148435.02,3258.04,2229.68
2025-08-26,ACC-001,COP,2580248069.24,114826151.79,59379641.15
2025-07-05,ACC-001,COP,2645100595.6,33631454.02,125988804.94
2025-03-01,ACC-006,USD,242374.09,5657.83,6181.16
2025-04-27,ACC-001,COP,2380845167.1,48472910.05,
2025-05-02,ACC-005,MXN,150324440.07,4894291.85,3732715.33
2025-01-10,ACC-001,COP,2763219962.94,140598376.17,83209311.94
2025-09-26,ACC-006,USD,145543.73,6739.43,6254.84
2025-02-21,ACC-001,COP,2235649464.82,48583096.14,116170401.02
2025-06-17,ACC-001,COP,3308890988.1,99082019.17,5098831.77
2025-01-20,ACC-006,USD,243318.36,16047.05,12689.38
2025-02-07,ACC-001,COP,2403614088.72,81953629.44,120295985.23
2025-01-14,ACC-006,USD,223846.54,3725.87,6680.83
2025-02-08,ACC-002,USD,159737.32,4161.35,
2025-07-31,ACC-003,COP,3141083449.65,134785119.41,110014892.37
2025-09-06,ACC-002,USD,102528.51,3157.51,
17/08/2025,ACC-004,MXN,23292246.64,256300.47,336862.4
2025-07-08,ACC-002,USD,129994.67,,5448.32
2025-07-22,ACC-006,USD,151232.29,4392.94,4959.24
2025-04-26,ACC-001,COP,2437033946.79,0.0,0.0
2025-04-08,ACC-002,USD,164427.06,5845.16,5779.33
2025-04-04,ACC-005,MXN,161816986.69,4554753.67,4045981.44
2025-01-05,ACC-001,COP,2617987216.05,29969174.04,0.0
2025-08-18,ACC-001,COP,2547243428.0,96951510.85,79311748.42
09/01/2025,ACC-002,USD,174001.44,2588.49,1968.7
2025-04-24,ACC-003,COP,3910471305.69,80300224.58,177663370.94
2025-03-11,ACC-002,USD,177456.60053505414,6637.13,5038.65
2025-04-10,ACC-001,COP,2543687951.55,75836438.08,70865564.55
2025-06-26,ACC-005,MXN,135461717.97,4391359.7,5468206.44
2025-05-22,ACC-004,MXN,29804744.71,1405166.08,821077.59
2025-04-12,ACC-001,COP,2434408978.48,35241646.38,71395485.04
2025-03-26,ACC-005,MXN,157062938.67,5029886.7,6664792.13
25/07/2025,ACC-006,USD,148426.65,5060.81,7582.47
2025-03-27,ACC-006,usd,189516.0,453.59,4220.79
2025-09-19,ACC-002,USD,76933.72,1661.78,4350.97
17/09/2025,ACC-001,COP,2248485029.68,120363397.12,166901974.13
30/01/2025,ACC-006,USD,243799.99,10095.93,11032.64
2025-08-13,ACC-001,COP,2489865236.01,141767551.51,101880960.13
21/04/2025,ACC-005,MXN,162809217.46,4495486.14,6579814.06
2025-09-16,ACC-005,MXN,107196086.06,4852743.12,3941752.33
2025-08-26,ACC-003,COP,3024158817.88,49584789.36,78514096.31
2025-01-01,ACC-004,MXN,91253281.78,4258986.96,3005705.18
23/02/2025,ACC-003,COP,3819656780.44,34017276.77,
2025-09-06,ACC-004,MXN,21544714.32,299703.97,346018.37
2025-04-30,ACC-002,USD,147707.07,4496.03,856.77
2025-06-22,ACC-005,MXN,137325409.94,3312918.87,3013788.43
2025-03-21,ACC-003,COP,3700794155.99,135437228.03,177873838.65
2025-01-25,ACC-005,MXN,161390464.38,2894596.85,1351992.51
13/05/2025,ACC-006,USD,149563.63,4450.66,1170.38
2025-04-24,ACC-001,COP,2477029299.7,227025375.15,192787851.36
09-02-2025,ACC-004,MXN,20863938.7,130554.59,826645.92
2025-03-05,ACC-001,COP,2571515324.19,160873663.18,5511059.86
2025-03-22,ACC-002,USD,43919.723214013466,6338.14,4204.918593401913
25/05/2025,ACC-002,USD,143925.49,5039.32,0.0
2025-09-21,ACC-001,COP,2503939160.98,117342053.07,39021275.67
2025-03-11,ACC-002,USD,177397.49,6637.13,5038.65
2025-07-19,ACC-006,usd,153488.22,6346.71,3259.15
03-30-2025,ACC-002,USD,174639.22,0.0,4756.68
04-28-2025,ACC-001,COP,2371623118.24,28029461.73,37251510.59
2025-04-09,ACC-001,COP,2538717078.02,114255896.11,54879897.25
2025-09-07,ACC-003,COP,2899977364.29,0.0,47924829.51
2025-06-03,ACC-006,USD,126227.63,52.32,6348.54
2025-06-14,ACC-003,COP,2977673698.02,35685029.13,53719024.7
2025-09-21,ACC-006,USD,152886.81,0.0,1834.81
2025-06-24,ACC-004,MXN,24654993.74,438270.7,1433768.08
04/05/2025,ACC-003,COP,3555790732.19,52304727.56,0.0
2025-04-29,ACC-004,MXN,31447520.04,815611.75,2070462.36
2025-06-15,ACC-006,USD,127219.16,1350.81,2749.58
2025-01-25,ACC-002,USD,164071.36,2821.34,7602.11
2025-03-13,ACC-003,COP,3797804151.05,130287128.18,152119261.97
2025-01-28,ACC-001,COP,2841795459.79,51721850.65,45447891.14
2025-07-20,ACC-001,cop,2654315719.41,20138764.15,47518032.65
2025-05-12,ACC-006,USD,146283.35,4988.61,3024.34
2025-07-04,ACC-002,USD,128426.92,3949.76,1317.71
2025-09-17,ACC-002,USD,82479.75499030117,2691.24,3400.28
07-21-2025,ACC-004,MXN,20518269.75,692760.76,611180.38
2025-03-22,ACC-003,COP,3782147687.5,91667961.88,10314430.37
2025-01-21,ACC-004,MXN,72317855.6,6670348.29,0.0
2025-02-20,ACC-004,MXN,59294797.87,3431117.03,0.0
2025-08-16,ACC-005,MXN,107859256.26,0.0,652176.16
01-05-2025,ACC-005,MXN,155459284.3,719090.48,1034068.36
2025-04-02,ACC-005,MXN,158920761.15207294,1532676.44,4882918.07
09/09/2025,ACC-006,USD,144736.41,3764.5,7196.14
2025-07-25,ACC-004,MXN,23018056.16,1515078.48,376233.91
2025-07-20,ACC-006,USD,152725.94,0.0,762.29
2025-02-24,ACC-005,mxn,153257854.16,1796661.43,4274186.69
