transfer_id,from_account,to_account,currency,amount,fee,date_requested,date_settled
TRF-0145,ACC-005,ACC-006,MXN,11347.91,21.16,2025-01-19,2025-01-21
TRF-0123,ACC-004,ACC-006,MXN,107418.35,390.53,2025-01-07,2025-01-09
TRF-0047,ACC-006,ACC-004,USD,64142.45,201.86,2025-06-19,2025-06-20
TRF-0103,ACC-004,ACC-003,MXN,108933.46,173.86,2025-05-25,2025-05-27
TRF-0052,ACC-001,ACC-006,COP,25137616.14,88941.02,2025-09-07,2025-09-09
TRF-0030,ACC-005,ACC-002,MXN,41822.64,122.14,2025-04-06,2025-04-08
TRF-0137,ACC-006,ACC-005,USD,108423.71,419.52,2025-09-19,2025-09-20
TRF-0113,ACC-003,ACC-005,COP,165827699.58,498804.2,2025-07-18,2025-07-20
TRF-0010,ACC-004,ACC-005,MXN,86741.66,34.7,2025-09-01,2025-09-01
TRF-0064,ACC-004,ACC-006,MXN,91307.48,299.0,2025-04-02,2025-04-03
TRF-0094,ACC-003,ACC-001,COP,36158260.35,14463.3,2025-07-07,2025-07-07
TRF-0131,ACC-002,ACC-001,USD,85037.32,191.18,2025-02-27,2025-03-02
TRF-0099,ACC-002,ACC-005,USD,79158.77,128.31,2025-08-15,2025-08-16
TRF-0003,ACC-002,ACC-005,USD,116320.02,379.54,2025-08-19,2025-08-21
TRF-0120,ACC-004,ACC-005,MXN,66992.96,26.8,2025-02-26,2025-02-27
TRF-0023,ACC-006,ACC-005,USD,56493.9,197.26,2025-06-12,2025-06-14
TRF-0031,ACC-003,ACC-001,COP,205338443.14,82135.38,2025-09-04,2025-09-04
TRF-0013,ACC-004,ACC-005,MXN,31625.28,12.65,2025-02-26,2025-02-26
TRF-0012,ACC-005,ACC-001,MXN,58959.03,138.15,2025-05-16,2025-05-19
TRF-0017,ACC-003,ACC-005,COP,101108504.62,248200.88,2025-01-27,2025-01-30
TRF-0055,ACC-005,ACC-003,MXN,37753.56,149.94,2025-03-04,2025-03-05
TRF-0001,ACC-006,ACC-002,USD,93286.29,37.31,2025-05-19,2025-05-19
TRF-0101,ACC-004,ACC-002,MXN,114786.67,345.27,2025-06-19,2025-06-21
TRF-0112,ACC-004,ACC-001,MXN,115805.54,386.66,2025-04-08,2025-04-10
TRF-0129,ACC-002,ACC-003,USD,74922.36,299.26,2025-09-13,2025-09-14
TRF-0016,ACC-001,ACC-002,COP,30162489.78,60128.65,2025-02-28,2025-03-02
TRF-0061,ACC-002,ACC-005,USD,106311.09,173.01,2025-04-15,2025-04-17
TRF-0050,ACC-003,ACC-005,COP,123686944.06,373072.55,2025-08-21,2025-08-24
TRF-0095,ACC-004,ACC-003,MXN,24033.66,81.04,2025-02-03,2025-02-05
TRF-0106,ACC-003,ACC-001,COP,86002280.79,34400.91,2025-04-29,2025-04-29
TRF-0070,ACC-002,ACC-004,USD,64695.93,174.21,2025-07-19,2025-07-22
TRF-0102,ACC-002,ACC-006,USD,15393.96,6.16,2025-05-14,2025-05-15
TRF-0134,ACC-003,ACC-005,COP,202037352.99,677953.04,2025-07-27,2025-07-29
TRF-0007,ACC-002,ACC-001,USD,89561.87,327.76,2025-08-18,2025-08-20
TRF-0042,ACC-003,ACC-005,COP,128137668.43,490675.81,2025-02-15,2025-02-17
TRF-0057,ACC-006,ACC-001,USD,69146.93,250.05,2025-05-21,2025-05-23
TRF-0089,ACC-006,ACC-001,USD,48009.86,179.83,2025-03-02,2025-03-05
TRF-0059,ACC-004,ACC-001,MXN,65107.73,195.48,2025-01-03,2025-01-05
TRF-0036,ACC-006,ACC-002,USD,81859.37,32.74,2025-09-18,2025-09-18
TRF-0074,ACC-006,ACC-001,USD,48360.08,77.0,2025-06-26,2025-06-27
TRF-0062,ACC-005,ACC-003,MXN,8441.51,24.53,2025-09-04,2025-09-05
TRF-0141,ACC-004,ACC-003,MXN,107039.18,302.0,2025-01-24,2025-01-26
